Timestamp,Do you consider yourself technologically well-versed?,Which option best describes your education level?,What is your age?,Is browser your main medium of gaining information on different websites?,Which browsers do you use?,Do you know what cookies are?,Would you like to learn more about what cookies are and how they work? ,In what way would you prefer to learn more about cookies? (Leave blank if you selected no to the previous question),Which of the following types of cookies are you familiar with (e.g. you know what function they serve)?,How often do websites request cookie permissions from you?,Do you find the cookie popups annoying?,How likely are you to not use a website if you see the cookie popup?,Do you usually accept cookies when prompted?,What is your opinion on cookies collecting your data?,Do you want more transparency on how websites use your cookies?,How often do you clear your browsing data?,Which of the following tools do you use?
2/2/2025 11:33:35,Yes,Bachelor's degree (in progress or complete),18-24,Yes,Chrome,Yes,Yes,Nifty reminders,,4,Yes,2,I only accept essential cookies,Neutral,"Yes, I want a general overview",Never,Ad blockers
2/2/2025 12:08:38,Yes,Bachelor's degree (in progress or complete),18-24,Yes,Chrome,No,Yes,"Detailed examples within the context, General explanations",,5,Yes,3,I only accept essential cookies,Generally negative,"Yes, I want detailed explanations",Never,Ad blockers
2/2/2025 17:14:15,Yes,Bachelor's degree (in progress or complete),25-34,Yes,"Safari, Brave",Yes,Yes,Detailed examples within the context,,4,Yes,3,I only accept essential cookies,Generally negative,"Yes, I want a general overview",Weekly,"Browser settings, Ad blockers, Private browsing (Incognito mode, etc.), VPN"
2/2/2025 17:53:36,Yes,Bachelor's degree (in progress or complete),18-24,Yes,Firefox,Yes,Yes,,,5,No,1,I review cookie settings and choose which ones to accept,Neutral,"Yes, I want a general overview",Annually,"Browser settings, Ad blockers, Private browsing (Incognito mode, etc.)"
2/2/2025 18:09:19,Yes,Bachelor's degree (in progress or complete),18-24,Yes,"Chrome, Safari",Yes,No,General explanations,,3,Yes,4,I ignore the prompt,Generally negative,"No, I'm fine with the way things work currently",Daily,Browser settings
2/2/2025 18:09:57,Yes,Bachelor's degree (in progress or complete),25-34,Yes,Brave,Yes,No,,,5,Yes,2,I only accept essential cookies,Generally negative,"Yes, I want detailed explanations",Weekly,"Browser settings, Ad blockers, Private browsing (Incognito mode, etc.), VPN"
2/2/2025 18:22:05,Yes,Bachelor's degree (in progress or complete),25-34,Yes,"Chrome, Safari, Firefox",Yes,No,,,3,Yes,2,I only accept essential cookies,Generally negative,"No, I'm fine with the way things work currently",Daily,"Browser settings, Ad blockers, Private browsing (Incognito mode, etc.), VPN, Privacy Extensions (Ghostery)"
2/2/2025 18:26:39,No,Bachelor's degree (in progress or complete),25-34,Yes,"Chrome, Safari",Yes,No,General explanations,,5,Yes,2,"Yes, I accept all cookies",Neutral,"Yes, I want a general overview",Never,Browser settings
2/2/2025 18:33:01,No,High school diploma,55-64,Yes,Safari,No,Yes,General explanations,,4,Yes,2,2,Neutral,"Yes, I want a general overview",Never,
2/2/2025 18:41:42,Yes,Bachelor's degree (in progress or complete),18-24,Yes,"Chrome, Safari",No,Yes,General explanations,,2,Yes,2,"Yes, I accept all cookies",Neutral,"Yes, I want a general overview",Never,"Browser settings, Private browsing (Incognito mode, etc.)"
2/3/2025 8:50:47,Yes,Bachelor's degree (in progress or complete),25-34,Yes,"Chrome, Safari",Yes,Yes,Detailed examples within the context,,3,Yes,4,I only accept essential cookies,Neutral,"Yes, I want detailed explanations",Annually,"Browser settings, Ad blockers, Private browsing (Incognito mode, etc.), VPN"
2/3/2025 17:13:55,Yes,Bachelor's degree (in progress or complete),35-44,Yes,"Chrome, Firefox",Yes,No,,,4,Yes,1,I only accept essential cookies,Generally negative,"No, I'm fine with the way things work currently",Never,"Browser settings, Ad blockers, Private browsing (Incognito mode, etc.)"
2/3/2025 21:28:56,Yes,Bachelor's degree (in progress or complete),55-64,No,,,,,,,,,,,,,
